Date	Open	High	Low	Close	Volume	Vol2	MA1	MA2	MA3	MA4	MA5	MA6
2014/01/09	1761.02	1793.00	1755.85	1756.84	794111.00	641813248	1784.944	1791.427	1835.542	1896.801	1948.132	1999.147
2014/01/10	1750.53	1762.44	1718.61	1724.95	1002501.00	687619456	1761.102	1786.738	1823.984	1886.468	1941.98	1998.025
2014/01/13	1724.95	1736.05	1668.75	1683.67	847587.00	726469632	1740.68	1776.47	1811.308	1873.892	1934.904	1996.582
2014/01/14	1685.98	1695.95	1652.08	1695.81	819025.00	637453888	1725.246	1766.465	1801.465	1863.604	1927.255	1995.234
2014/01/15	1696.25	1697.09	1668.26	1686.02	747819.00	527350656	1709.458	1755.882	1791.306	1850.819	1920.122	1993.849
2014/01/16	1684.50	1721.60	1680.98	1712.45	988768.00	762749504	1700.58	1742.762	1782.65	1837.396	1914.893	1992.506
2014/01/17	1708.19	1722.13	1688.50	1692.67	767754.00	625865024	1694.124	1727.613	1772.99	1826.163	1909.293	1990.065
2014/01/20	1680.81	1682.61	1652.68	1665.86	736029.00	512321056	1690.562	1715.621	1764.035	1815.676	1904.145	1987.11
2014/01/21	1680.02	1712.22	1680.02	1707.50	822208.00	674009536	1692.9	1709.073	1758.312	1806.682	1899.659	1984.918
2014/01/22	1711.30	1752.39	1708.79	1748.27	1259529.00	921034368	1705.35	1707.404	1753.766	1798.901	1896.399	1983.084
2014/01/23	1755.63	1766.29	1734.39	1742.89	1007406.00	782229888	1711.438	1706.009	1748.718	1792.364	1892.738	1981.31
2014/01/24	1737.20	1774.00	1730.26	1764.50	1175597.00	788977280	1725.804	1709.964	1748.351	1785.978	1889.105	1979.905
2014/01/27	1749.87	1772.01	1735.80	1752.71	983129.00	681558848	1743.174	1716.868	1746.669	1779.828	1885.407	1978.014
2014/01/28	1756.80	1776.81	1745.56	1769.15	931836.00	640106304	1755.504	1724.202	1745.333	1775.711	1881.451	1976.024
2014/01/29	1774.61	1778.54	1759.82	1765.54	693562.00	500528576	1758.958	1732.154	1744.018	1771.588	1877.174	1974.144
2014/01/30	1758.51	1760.74	1734.52	1738.03	725571.00	497113408	1757.986	1734.712	1738.737	1766.67	1872.89	1971.988
2014/02/07	1726.50	1772.95	1716.61	1772.95	770269.00	646220032	1759.676	1742.74	1735.177	1762.907	1869.553	1969.863
2014/02/10	1780.51	1817.72	1780.51	1810.54	1600430.00	1191792128	1771.242	1757.208	1736.415	1761.759	1867.661	1968.471
2014/02/11	1808.17	1826.63	1796.72	1807.53	1724450.00	1204810112	1778.918	1767.211	1738.142	1761.278	1865.882	1967.04
2014/02/12	1809.97	1825.57	1801.05	1818.07	1313984.00	820431168	1789.424	1774.191	1740.797	1760.574	1863.926	1965.302
2014/02/13	1817.99	1818.14	1777.37	1780.48	1226456.00	975307136	1797.914	1777.95	1741.979	1758.462	1862.395	1963.117
2014/02/14	1778.14	1791.85	1771.82	1782.93	1073773.00	766550400	1799.91	1779.793	1744.879	1758.832	1860.583	1961.014
2014/02/17	1792.15	1868.10	1787.57	1863.07	2418405.00	1928446464	1810.416	1790.829	1753.849	1761.389	1859.286	1959.325
2014/02/18	1860.69	1861.84	1827.22	1836.43	1628212.00	1247728128	1816.196	1797.557	1760.88	1762.741	1856.527	1957.593
2014/02/19	1835.71	1861.42	1832.29	1846.38	1329257.00	1065966272	1821.858	1805.641	1768.897	1764.559	1853.997	1956.221
2014/02/20	1850.75	1865.71	1820.80	1827.12	1809016.00	1110532864	1831.186	1814.55	1774.631	1764.008	1850.367	1953.702
2014/02/21	1827.77	1839.10	1796.78	1819.26	1202139.00	784068544	1838.452	1819.181	1780.96	1763.178	1846.287	1951.163
2014/02/24	1812.50	1812.50	1757.61	1780.13	1495415.00	908743680	1821.864	1816.14	1786.674	1762.99	1842.169	1948.465
2014/02/25	1785.53	1799.48	1723.42	1730.47	1502185.00	1096651264	1800.672	1808.434	1787.823	1761.573	1837.901	1945.289
2014/02/26	1724.64	1742.64	1702.33	1731.12	910593.00	680585600	1777.62	1799.739	1786.965	1760.445	1833.418	1942.408
2014/02/27	1734.18	1747.55	1717.84	1728.33	1453504.00	839919808	1757.862	1794.524	1786.237	1759.494	1828.148	1939.05
2014/02/28	1748.55	1753.91	1708.02	1745.42	1315503.00	786059264	1743.094	1790.773	1785.283	1760.177	1823.322	1935.969
2014/03/03	1743.52	1852.52	1732.61	1815.87	5461053.00	2267250944	1750.242	1786.053	1788.441	1764.583	1819.238	1933.83
2014/03/04	1792.37	1839.01	1790.23	1836.07	2628250.00	1386490496	1771.362	1786.017	1791.787	1769.259	1816.431	1931.789
2014/03/05	1835.45	1847.27	1793.83	1801.45	1480135.00	982936192	1785.428	1781.524	1793.583	1773.106	1811.963	1929.825
