Date	Open	High	Low	Close	Volume	Vol2	MA1	MA2	MA3	MA4	MA5	MA6
2014/01/08	3387.17	3421.84	3375.69	3404.99	13635712.00	14562427904	3422.758	3451.709	3501.011	3532.864	3526.083	3384.242
2014/01/09	3393.13	3422.11	3359.32	3361.79	16418940.00	15762419712	3395.438	3437.028	3486.112	3526.04	3521.372	3387.334
2014/01/10	3356.33	3369.15	3320.84	3328.73	14457738.00	11949746176	3369.526	3427.462	3469.253	3517.128	3516.748	3389.763
2014/01/13	3327.06	3354.44	3277.58	3301.48	11614200.00	11075958784	3356.058	3409.315	3450.336	3506.97	3510.986	3392.364
2014/01/14	3303.01	3387.94	3302.55	3387.76	17417476.00	13751921664	3356.95	3399.66	3440.013	3504.842	3504.672	3395.863
2014/01/15	3383.49	3415.23	3377.35	3406.64	16707431.00	14189999104	3357.28	3390.019	3433.698	3501.145	3499.982	3400.071
2014/01/16	3405.76	3420.04	3383.81	3391.86	15289986.00	13910472704	3363.294	3379.366	3426.835	3494.076	3496.755	3403.829
2014/01/17	3378.30	3382.28	3338.89	3341.13	12455758.00	11618971648	3365.774	3367.65	3419.113	3484.654	3492.394	3406.51
2014/01/20	3333.68	3356.99	3320.63	3339.64	13058015.00	11968387072	3373.406	3364.732	3414.412	3474.909	3489.176	3409.092
2014/01/21	3341.84	3395.41	3341.84	3395.17	13039954.00	12589520896	3374.888	3365.919	3412.007	3465.914	3486.955	3412.527
2014/01/22	3403.33	3496.34	3401.70	3495.55	21528044.00	20125186048	3392.67	3374.975	3413.342	3458.999	3487.292	3416.806
2014/01/23	3499.42	3541.10	3493.20	3524.55	19748082.00	21103484928	3419.208	3391.251	3414.139	3454.492	3486.792	3421.838
2014/01/24	3511.27	3568.19	3507.22	3555.94	20004284.00	21164777472	3462.17	3413.972	3420.717	3450.826	3488.099	3427.202
2014/01/27	3537.97	3580.16	3518.11	3546.66	28716196.00	23316903936	3503.574	3438.49	3423.903	3446.388	3489.445	3432.242
2014/01/28	3553.52	3572.88	3511.96	3538.29	20379160.00	16892711936	3532.198	3453.543	3426.602	3444.523	3490.289	3436.627
2014/01/29	3547.87	3569.06	3539.86	3562.91	18375416.00	16971313152	3545.67	3469.17	3429.594	3445.522	3490.647	3441.262
2014/01/30	3560.60	3563.33	3514.50	3521.64	15943912.00	15391910912	3545.088	3482.148	3430.757	3445.273	3491.732	3445.139
