Date	Open	High	Low	Close	Volume	Vol2	MA1	MA2	MA3	MA4	MA5	MA6
2005/01/04	981.32	981.32	946.30	959.15	719973.00	344072992						
2005/01/05	957.13	965.33	947.92	957.74	384803.00	181014000						
2005/01/06	959.05	961.15	936.94	945.58	335374.00	163996992						
2005/01/07	947.13	965.59	942.32	959.03	266599.00	148215008						
2005/01/10	957.07	959.29	944.64	956.21	245667.00	122663000	955.542					
2005/01/11	956.31	967.59	953.62	964.81	292683.00	160130000	956.674					
2005/01/12	964.96	966.22	955.47	965.81	295832.00	148420992	958.288					
2005/01/13	964.69	964.94	954.00	959.03	190653.00	97960000	960.978					
2005/01/14	959.33	973.21	947.48	949.35	298677.00	156927008	959.042					
2005/01/17	941.61	941.61	915.51	919.23	334839.00	155107008	951.646	953.594				
2005/01/18	917.22	923.70	901.89	914.80	420238.00	180303008	941.644	949.159				
2005/01/19	914.56	918.45	907.50	910.69	262384.00	117529000	930.62	944.454				
2005/01/20	905.89	915.50	900.16	903.43	362764.00	175192000	919.5	940.239				
2005/01/21	902.76	938.50	899.54	933.55	687405.00	301856000	916.34	937.691				
2005/01/24	952.80	952.80	933.90	951.96	757789.00	351416992	922.886	937.266				
2005/01/25	948.85	958.78	938.82	958.59	418380.00	215910000	931.644	936.644				
2005/01/26	959.37	965.06	954.45	954.89	322281.00	187579008	940.484	935.552				
2005/01/27	953.01	956.30	937.51	942.78	289714.00	150382000	948.354	933.927				
2005/01/28	942.78	943.95	932.70	935.61	178694.00	95462000	948.766	932.553				
2005/01/31	936.20	938.25	918.24	919.93	273260.00	142299008	942.36	932.623	943.109			
2005/02/01	919.06	930.49	915.56	917.99	231808.00	170216992	934.24	932.942	941.05			
2005/02/02	918.38	977.69	918.38	975.59	900007.00	464390016	938.38	939.432	941.943			
2005/02/03	974.62	997.34	960.90	979.22	1012785.00	519399008	945.668	947.011	943.625			
2005/02/04	977.04	1012.83	971.82	1004.54	914486.00	464079008	959.454	954.11	945.901			
2005/02/16	1012.46	1033.38	1006.19	1016.11	742808.00	389407008	978.69	960.525	948.896			
2005/02/17	1017.02	1017.02	999.58	1006.02	323868.00	176430000	996.296	965.268	950.956			
2005/02/18	1006.20	1020.04	997.87	997.87	489371.00	253442000	1000.752	969.566	952.559			
2005/02/21	998.87	1027.76	998.87	1027.70	498610.00	262864992	1010.448	978.058	955.992			
2005/02/22	1027.94	1046.02	1025.62	1040.37	674140.00	376832992	1017.614	988.534	960.544			
2005/02/23	1041.05	1052.70	1033.53	1042.96	786243.00	438516992	1022.984	1000.837	966.73	962.351		
2005/02/24	1039.94	1039.94	1026.17	1037.51	454712.00	250407008	1029.282	1012.789	972.865	964.963		
2005/02/25	1037.13	1060.63	1037.13	1040.99	597684.00	353820000	1037.906	1019.329	979.38	967.738		
2005/02/28	1040.08	1050.90	1035.91	1041.33	537967.00	315968992	1040.632	1025.54	986.276	970.93		
2005/03/01	1041.42	1047.48	1035.10	1043.65	312854.00	196504000	1041.288	1029.451	991.781	973.751		
2005/03/02	1046.23	1064.75	1033.49	1034.97	696760.00	407012992	1039.69	1031.337	995.931	976.376		
2005/03/03	1033.93	1039.37	1020.59	1037.05	444524.00	230794000	1039.598	1034.44	999.854	978.784		
2005/03/04	1037.12	1047.61	1031.31	1034.31	277557.00	189291008	1038.262	1038.084	1003.825	981.067		
2005/03/07	1035.47	1049.61	1035.47	1047.01	347421.00	222007008	1039.398	1040.015	1009.036	984		
2005/03/08	1053.37	1073.22	1052.21	1065.11	706706.00	430791008	1043.69	1042.489	1015.511	987.859		
2005/03/09	1067.91	1075.36	1059.57	1065.27	563619.00	316324000	1049.75	1044.72	1022.779	992.727		
2005/03/10	1065.10	1065.70	1031.86	1035.42	448178.00	263080992	1049.424	1044.511	1028.65	996.747		
2005/03/11	1034.92	1043.10	1025.68	1032.87	391394.00	221116000	1049.136	1043.699	1031.514	1000.82		
2005/03/14	1032.86	1042.88	1013.74	1031.72	510284.00	321544000	1046.078	1042.738	1034.139	1005.096		
2005/03/15	1031.28	1031.28	1006.71	1007.76	475703.00	277420000	1034.608	1039.149	1034.3	1007.57		
2005/03/16	1005.71	1009.84	988.93	996.27	382530.00	250476992	1020.808	1035.279	1033.308	1009.047		
2005/03/17	998.04	1011.08	996.32	999.10	328371.00	221976992	1013.544	1031.484	1032.962	1010.397		
2005/03/18	999.72	1014.84	993.42	999.44	494389.00	283238016	1006.858	1027.997	1033.041	1011.882		
2005/03/21	999.50	1006.58	989.73	1001.72	371499.00	216564000	1000.858	1023.468	1031.741	1013.847		
2005/03/22	1003.07	1004.63	988.45	992.26	429421.00	243615008	997.758	1016.183	1029.336	1015.735		
2005/03/23	996.59	1009.50	990.12	990.12	470949.00	281160992	996.528	1008.668	1026.694	1018.075		
2005/03/24	990.43	992.53	970.75	991.69	492539.00	307032000	995.046	1004.295	1024.403	1020.532		
2005/03/25	988.02	999.20	984.09	990.05	295356.00	166992000	993.168	1000.013	1021.856	1021.014		
2005/03/28	992.97	992.97	979.12	989.46	263166.00	147316000	990.716	995.787	1019.263	1021.355		
2005/03/29	989.47	1001.38	983.19	983.22	315745.00	184442000	988.908	993.333	1016.241	1020.644		
2005/03/30	981.43	984.54	965.29	965.29	384837.00	223878000	983.942	990.235	1012.757	1018.95		
2005/03/31	963.28	974.44	954.16	974.44	295835.00	157168000	980.492	987.769	1009.627	1017.898		
2005/04/01	974.09	1028.99	963.71	1015.57	651028.00	342233984	985.596	989.382	1008.69	1018.488		
2005/04/04	1006.21	1020.62	997.11	1001.26	523551.00	306419008	987.956	989.336	1006.402	1017.606		
2005/04/05	999.51	1014.29	993.53	995.74	408654.00	240111008	990.46	989.684	1002.933	1016.119		
2005/04/06	995.74	1030.83	992.56	1025.82	744483.00	421087008	1002.566	993.254	1000.961	1015.547	988.949	
2005/04/07	1026.46	1056.80	1019.69	1023.32	1073222.00	591185024	1012.342	996.417	1000.356	1015.074	990.019	
2005/04/08	1022.79	1044.63	1014.11	1044.03	661292.00	345787008	1018.034	1001.815	1000.914	1015.176	991.457	
2005/04/11	1040.25	1040.25	1019.65	1024.66	500914.00	300353984	1022.714	1005.335	1000.561	1014.62	992.775	
2005/04/12	1021.63	1022.61	1004.51	1007.17	326489.00	185788992	1025	1007.73	1000.531	1013.404	993.577	
2005/04/13	1012.53	1036.60	1012.53	1030.03	780222.00	410887008	1025.842	1014.204	1002.219	1013.239	994.808	
2005/04/14	1031.56	1032.30	1019.37	1021.00	538945.00	284129984	1025.378	1018.86	1003.315	1012.704	995.744	
2005/04/15	1017.18	1017.18	1001.25	1006.31	300928.00	182386000	1017.834	1017.934	1003.658	1011.771	996.419	
2005/04/18	1000.64	1004.22	985.66	993.95	286565.00	138879008	1011.692	1017.203	1003.27	1010.002	997.001	
2005/04/19	990.37	992.84	980.18	985.13	426214.00	212304992	1007.284	1016.142	1002.913	1007.336	997.597	
2005/04/20	983.12	989.19	975.77	986.04	320232.00	180360000	998.486	1012.164	1002.709	1004.695	998.711	
2005/04/21	986.25	998.13	982.54	987.86	374938.00	195848992	991.858	1008.618	1002.518	1003.11	999.929	
2005/04/22	989.11	995.65	977.24	981.47	471718.00	235312992	986.89	1002.362	1002.089	1001.397	1001.108	
2005/04/25	974.57	984.07	962.68	971.48	566897.00	283539008	982.396	997.044	1001.19	999.389	1002.242	
2005/04/26	968.90	975.83	959.82	970.44	427900.00	221096000	979.458	993.371	1000.55	998.145	1002.857	
2005/04/27	973.28	975.04	964.97	966.09	346185.00	193526000	975.468	986.977	1000.591	997.139	1003.093	
2005/04/28	965.67	981.87	959.80	981.26	527224.00	272393984	974.148	983.003	1000.932	996.544	1003.471	
2005/04/29	980.37	985.10	970.20	976.32	255925.00	149280992	973.118	980.004	998.969	995.773	1003.828	
2005/05/09	976.00	978.90	946.54	946.94	332757.00	184487008	968.21	975.303	996.253	993.947	1003.897	
2005/05/10	945.03	966.17	931.12	964.28	405990.00	233884992	966.978	973.218	994.68	993.015	1004.375	
2005/05/11	963.39	967.05	947.45	949.20	204939.00	103700000	963.6	969.534	990.849	991.651	1004.863	
2005/05/12	947.04	952.63	920.81	921.69	527692.00	246000000	951.686	962.917	985.768	989.317	1004.924	
2005/05/13	919.64	933.13	902.79	918.84	392823.00	225387008	940.19	956.654	979.508	986.944	1003.979	
2005/05/16	916.09	916.09	879.05	910.72	457644.00	206336000	932.946	950.578	973.811	984.319	1002.837	
2005/05/17	902.14	911.57	889.51	901.94	312170.00	137830000	920.478	943.728	968.549	981.61	1001.127	
2005/05/18	901.75	908.56	891.86	898.50	154071.00	99426000	910.338	936.969	961.973	979.383	999.167	
2005/05/19	894.67	895.35	860.89	891.94	895792.00	389747008	904.388	928.037	955.52	976.633	997.266	
2005/05/20	882.56	893.00	876.11	888.70	281615.00	129813000	898.36	919.275	949.64	972.404	995.446	
2005/05/23	885.57	885.57	861.28	862.89	334920.00	141483008	888.794	910.87	943.086	967.792	992.699	
2005/05/24	853.26	861.32	842.51	854.77	656520.00	251503008	879.36	899.919	936.568	963.093	989.606	
2005/05/25	854.77	861.29	845.07	851.37	371179.00	146078000	869.934	890.136	929.835	957.278	986.413	
2005/05/26	850.62	859.48	844.91	844.91	290227.00	118064000	860.528	882.458	922.688	951.331	983.203	
2005/05/27	843.68	853.32	838.70	841.35	281325.00	126567000	851.058	874.709	915.682	944.575	979.875	
2005/05/30	839.59	854.89	833.34	850.28	320471.00	131415000	848.536	868.665	909.622	938.762	976.691	
2005/05/31	851.62	863.50	848.94	851.34	452460.00	180023008	847.85	863.605	903.667	933.568	973.486	
2005/06/01	851.37	858.17	825.97	827.75	358967.00	148499008	843.126	856.53	896.75	926.825	970.032	
2005/06/02	826.09	826.94	798.20	805.45	637262.00	268064992	835.234	847.881	887.959	919.64	966.172	
2005/06/03	805.02	805.02	786.07	800.50	512828.00	199379008	827.064	839.061	879.168	912.78	962.276	
2005/06/06	795.01	817.06	780.49	816.85	555872.00	213028992	820.378	834.457	872.664	906.877	958.44	
