Date	Open	High	Low	Close	Volume	Vol2	MA1	MA2	MA3	MA4	MA5	MA6
2005/01/04	995.79	995.79	984.26	989.10	556971.00	350455008						
2005/01/05	988.77	1002.27	983.25	994.83	825416.00	549228032						
2005/01/06	997.61	999.13	984.48	988.40	881445.00	572270976						
2005/01/07	989.62	1005.47	984.19	993.92	929267.00	595444992						
2005/01/10	997.88	1010.70	993.45	1010.70	714498.00	477814016	995.39					
2005/01/11	1010.83	1014.68	1005.54	1014.68	546928.00	350022016	1000.506					
2005/01/12	1015.72	1015.72	1003.50	1011.12	457056.00	290745984	1003.764					
2005/01/13	1009.94	1012.08	1006.77	1011.42	550805.00	354735008	1008.368					
2005/01/14	1011.19	1020.37	1000.62	1001.48	516045.00	330526016	1009.88					
2005/01/17	990.68	994.59	975.49	977.59	774466.00	477864992	1003.258	999.324				
2005/01/18	976.61	984.23	969.74	983.66	637817.00	401609984	997.054	998.78				
2005/01/19	983.44	983.44	972.11	972.64	428792.00	284516992	989.358	996.561				
2005/01/20	969.85	972.86	959.90	962.79	562397.00	334703008	979.632	994				
2005/01/21	961.31	1018.52	958.21	1010.52	2073997.00	1303828992	981.44	995.66				
2005/01/24	1030.42	1030.42	1012.59	1027.38	1896168.00	1243580032	991.398	997.328				
2005/01/25	1023.75	1023.75	1006.58	1014.40	1109219.00	737126016	997.546	997.3				
2005/01/26	1012.72	1025.14	1007.95	1009.37	970079.00	638334016	1004.892	997.125				
2005/01/27	1006.80	1012.14	991.72	994.00	711304.00	444279008	1011.134	995.383				
2005/01/28	994.00	994.96	983.06	990.33	610915.00	372806016	1007.096	994.268				
2005/01/31	985.67	985.67	971.38	974.92	583184.00	350777984	996.604	994.001	996.662			
2005/02/01	975.04	992.01	974.88	982.47	698856.00	425435008	990.218	993.882	996.331			
2005/02/02	984.44	1036.44	984.44	1035.13	1986064.00	1278130944	995.37	1000.131	998.346			
2005/02/03	1035.17	1043.33	1018.10	1019.21	1710409.00	1080348032	1000.412	1005.773	999.886			
2005/02/04	1018.64	1069.81	1017.75	1062.63	2582734.00	1673521024	1014.872	1010.984	1003.322			
2005/02/16	1068.81	1076.67	1061.77	1062.75	1507841.00	948099968	1032.438	1014.521	1005.924			
