Date	Open	High	Low	Close	Volume	Vol2	MA1	MA2	MA3	MA4	MA5	MA6
2006/04/13	1106.29	1113.56	1076.31	1077.37	4698081.00	2074573056						
2006/04/14	1072.62	1097.44	1072.53	1097.44	3235619.00	1510841984						
2006/04/17	1096.36	1110.03	1090.44	1098.88	3810880.00	1780349056						
2006/04/18	1103.21	1109.24	1091.81	1103.86	3405305.00	1856109952						
2006/04/19	1102.71	1104.88	1088.98	1102.74	3056599.00	1547179008	1096.058					
2006/04/20	1106.64	1112.28	1093.76	1102.10	4638490.00	2101180032	1101.004					
2006/04/21	1101.75	1115.74	1092.29	1114.76	5125985.00	2369195008	1104.468					
2006/04/24	1117.53	1117.53	1094.20	1107.97	4691634.00	2530373888	1106.286					
2006/04/25	1105.54	1113.86	1092.18	1106.43	3509042.00	1782612992	1106.8					
2006/04/26	1112.29	1138.84	1111.10	1135.50	4187118.00	2374131968	1113.352	1104.705				
2006/04/27	1137.65	1139.95	1122.32	1134.96	3847543.00	1910515968	1119.924	1110.464				
2006/04/28	1122.95	1155.68	1107.53	1152.81	4076046.00	2234465024	1127.534	1116.001				
2006/05/08	1154.47	1187.04	1154.47	1187.04	4752539.00	2288724992	1143.348	1124.817				
2006/05/09	1200.70	1236.98	1198.71	1232.49	6891498.00	3382885120	1168.56	1137.68				
2006/05/10	1245.74	1266.75	1228.55	1262.76	8625610.00	4215461888	1194.012	1153.682				
2006/05/11	1271.84	1293.41	1241.85	1244.85	9772323.00	4865976832	1215.99	1167.957				
2006/05/12	1238.60	1291.88	1235.74	1291.50	8221484.00	4101512960	1243.728	1185.631				
2006/05/15	1308.82	1360.59	1302.16	1360.59	10126184.00	5292874752	1278.438	1210.893				
2006/05/16	1390.88	1410.25	1337.73	1346.37	13350595.00	7262337024	1301.214	1234.887				
2006/05/17	1349.02	1376.72	1323.07	1349.40	11269776.00	5665839104	1318.542	1256.277	1180.491			
2006/05/18	1340.01	1380.18	1316.45	1374.12	8248756.00	4234638080	1344.396	1280.193	1195.328			
2006/05/19	1377.70	1418.51	1376.41	1415.39	7400621.00	4034468096	1369.174	1306.451	1211.226			
2006/05/22	1425.81	1445.21	1414.34	1431.81	9293333.00	5043168768	1383.418	1330.928	1227.873			
2006/05/23	1426.33	1426.33	1353.31	1354.61	7495031.00	4251538944	1385.066	1343.14	1240.41			
2006/05/24	1351.29	1376.98	1282.75	1313.01	7204220.00	3683758080	1377.788	1348.165	1250.923			
