Date	Open	High	Low	Close	Volume	Vol2	MA1	MA2	MA3	MA4	MA5	MA6
2006/04/13	849.08	856.57	829.31	829.94	1420018.00	596155008						
2006/04/14	829.39	842.77	824.40	842.47	1056202.00	415112992						
2006/04/17	840.32	850.66	835.84	850.66	1428522.00	580680000						
2006/04/18	851.23	851.97	839.91	844.44	1218702.00	490300000						
2006/04/19	844.34	844.34	834.79	841.47	1132461.00	434751008	841.796					
2006/04/20	841.30	841.30	824.01	828.42	1053873.00	426736000	841.492					
2006/04/21	828.51	838.84	818.46	835.96	1457052.00	600803968	840.19					
2006/04/24	836.04	842.54	826.49	838.41	2209735.00	899267968	837.74					
2006/04/25	836.75	843.41	826.85	841.28	1646809.00	656915968	837.108					
2006/04/26	841.83	854.86	840.10	851.20	1597232.00	709476992	839.054	840.425				
2006/04/27	853.49	858.85	844.34	855.44	1774197.00	740964992	844.458	842.975				
2006/04/28	850.36	860.83	841.65	857.92	1296393.00	551388032	848.85	844.52				
2006/05/08	860.68	880.95	858.47	880.82	1895998.00	765987968	857.332	847.536				
2006/05/09	882.58	910.31	882.29	904.76	3168400.00	1309725056	870.028	853.568				
2006/05/10	907.93	924.43	899.39	913.99	2783353.00	1213190016	882.586	860.82				
2006/05/11	913.12	918.33	889.26	889.57	2749974.00	1268882048	889.412	866.935				
2006/05/12	887.10	931.30	884.35	930.45	3198854.00	1617437952	903.918	876.384				
2006/05/15	941.38	978.29	927.78	977.56	4362533.00	2290088960	923.266	890.299				
2006/05/16	1062.48	1062.48	990.83	995.12	4537979.00	2839060992	941.338	905.683				
2006/05/17	989.43	1010.12	973.09	996.91	3452061.00	1987501952	957.922	920.254	880.339			
2006/05/18	990.69	1018.34	971.44	1014.41	2922964.00	1565677952	982.89	936.151	889.563			
2006/05/19	1016.22	1026.30	1004.57	1020.58	2305077.00	1317075968	1000.916	952.417	898.469			
2006/05/22	1043.11	1047.72	1030.11	1038.04	2748113.00	1565508992	1013.012	968.139	907.838			
2006/05/23	1037.26	1037.26	978.88	981.73	2777620.00	1560594048	1010.334	975.836	914.702			
2006/05/24	978.36	1002.42	928.78	955.15	2399392.00	1318339072	1001.982	979.952	920.386			
2006/05/25	955.07	970.19	942.53	963.90	1705829.00	863630016	991.88	987.385	927.16			
2006/05/26	968.87	984.59	967.79	983.78	1928316.00	975465984	984.52	992.718	934.551			
2006/05/29	985.61	1013.51	973.71	1011.31	2145168.00	1217326976	979.174	996.093	943.196			
2006/05/30	1014.65	1017.10	998.26	1011.83	2197241.00	1181460992	985.194	997.764	951.724			
2006/05/31	1007.82	1009.67	988.79	995.82	2285777.00	1166123008	993.328	997.655	958.955	919.445		
2006/06/01	995.45	1041.57	994.00	1039.63	2591652.00	1401579008	1008.474	1000.177	968.164	926.434		
2006/06/02	1051.81	1083.46	1038.90	1060.96	3811300.00	2137689984	1023.91	1004.215	978.316	933.717		
2006/06/05	1067.13	1075.45	1044.08	1073.54	3174481.00	1552576000	1036.356	1007.765	987.952	941.147		
2006/06/06	1069.95	1081.67	1061.68	1065.97	2524849.00	1269670016	1047.184	1016.189	996.013	948.531		
2006/06/07	1065.40	1065.40	971.22	972.15	2565423.00	1380824064	1042.45	1017.889	998.921	952.887		
2006/06/08	957.93	972.40	925.19	962.92	2009549.00	975891968	1027.108	1017.791	1002.588	957.37		
2006/06/09	960.25	970.91	935.36	935.83	1508104.00	745143040	1002.082	1012.996	1002.857	960.699		
2006/06/12	931.09	947.34	925.67	940.70	783908.00	379936992	975.514	1005.935	1001.014	964.109		
2006/06/13	943.73	966.01	941.60	951.55	1988765.00	715867008	952.63	999.907	998.836	967.785		
2006/06/14	950.27	950.27	923.55	936.66	1407941.00	515833984	945.532	993.991	995.823	970.633		
2006/06/15	935.75	949.82	930.67	934.17	1147984.00	452868992	939.782	983.445	991.811	973.258		
2006/06/16	942.56	962.30	942.19	960.73	1462660.00	592204032	944.762	973.422	988.818	976.685		
2006/06/19	948.21	981.14	941.93	980.79	1603853.00	705744000	952.78	964.147	985.956	980.017		
2006/06/20	981.41	986.57	968.75	986.01	1714257.00	714555008	959.672	956.151	986.17	982.725		
2006/06/21	985.62	994.21	976.34	981.83	2317974.00	828433024	968.706	957.119	987.504	984.987		
2006/06/22	980.60	985.60	971.71	977.26	1953202.00	706150016	977.324	958.553	988.172	987.91		
2006/06/23	975.53	1004.82	971.16	1000.93	1686412.00	842569024	985.364	965.063	989.029	990.259		
2006/06/26	1007.19	1029.63	1007.19	1024.31	1577297.00	941011968	994.068	973.424	989.68	991.817		
2006/06/27	1022.24	1026.45	1009.41	1017.85	1671176.00	804156992	1000.436	980.054	989.98	992.575		
2006/06/28	1016.58	1021.94	1010.23	1016.88	1473158.00	696670976	1007.446	988.076	991.034	993.241		
2006/06/29	1017.12	1037.36	1017.12	1035.12	2083062.00	1042051008	1019.018	998.171	990.808	993.931		
2006/06/30	1040.13	1046.84	1029.17	1034.25	1801196.00	874585984	1025.682	1005.523	989.472	994.387		
2006/07/03	1036.94	1054.21	1024.94	1052.83	2349010.00	1333857024	1031.386	1012.727	988.437	994.88		
2006/07/04	1055.20	1060.32	1036.43	1044.35	2905290.00	1436066048	1036.686	1018.561	987.356	996.967		
2006/07/05	1043.98	1055.26	1029.31	1051.40	2624310.00	1525592960	1043.59	1025.518	991.318	1000.175		
2006/07/06	1050.34	1084.01	1048.61	1079.25	2998712.00	1915064960	1052.416	1035.717	997.135	1004.02		
2006/07/07	1079.25	1083.14	1063.33	1064.80	2411042.00	1432754048	1058.526	1042.104	1003.583	1006.721		
2006/07/10	1063.77	1067.26	1049.28	1064.51	1962414.00	1143623040	1060.862	1046.124	1009.774	1008.494		
2006/07/11	1067.47	1070.63	1055.65	1070.63	2306459.00	1212589056	1066.118	1051.402	1015.728	1010.454		
2006/07/12	1071.69	1079.89	1064.57	1065.69	2520995.00	1582113024	1068.976	1056.283	1022.18	1012.783	966.114	
2006/07/13	1061.70	1061.70	982.55	982.61	3416403.00	2044793984	1049.648	1051.032	1024.601	1010.883	968.659	
2006/07/14	973.05	1003.30	967.38	995.30	2169266.00	1243362048	1035.748	1047.137	1026.33	1008.694	971.206	
2006/07/17	996.89	1018.85	989.68	1014.75	1685786.00	968609024	1025.796	1043.329	1028.028	1006.734	973.94	
2006/07/18	1017.08	1032.17	1007.05	1032.17	2045384.00	1376481024	1018.104	1042.111	1030.336	1005.608	977.069	
2006/07/19	1031.50	1031.50	994.94	1001.29	1863031.00	1140711040	1005.224	1037.1	1031.309	1006.579	979.733	
2006/07/20	999.29	1010.68	992.75	1008.19	1260606.00	758937984	1010.34	1029.994	1032.855	1008.088	982.729	
2006/07/21	1009.89	1025.49	1009.89	1018.47	1371699.00	856806016	1014.974	1025.361	1033.733	1010.843	985.771	
2006/07/24	997.02	1020.30	990.11	1018.53	1469212.00	908968000	1015.73	1020.763	1033.443	1013.437	988.773	
2006/07/25	1019.69	1040.09	1019.69	1037.90	1769369.00	1060190016	1016.876	1017.49	1034.446	1016.315	992.05	
2006/07/26	1042.83	1055.40	1041.00	1047.09	1839496.00	1088515072	1026.036	1015.63	1035.957	1019.996	995.315	
2006/07/27	1045.15	1051.38	1019.65	1028.73	1778368.00	1040363008	1030.144	1020.242	1035.637	1023.148	998.203	
2006/07/28	1025.91	1031.95	999.41	1014.11	1550778.00	884488000	1029.272	1022.123	1034.63	1024.928	1000.806	
2006/07/31	1010.10	1010.10	973.75	973.98	1477103.00	841609984	1020.362	1018.046	1030.688	1024.701	1002.359	
2006/08/01	973.44	983.59	962.67	965.70	1086041.00	647942016	1005.922	1011.399	1026.755	1024.024	1003.375	
2006/08/02	968.28	973.08	945.58	960.24	869931.00	500627008	988.552	1007.294	1022.197	1023.304	1004.145	
2006/08/03	961.94	967.02	946.34	953.64	643523.00	410419008	973.534	1001.839	1015.917	1022.517	1005.213	
2006/08/04	954.24	961.54	917.44	921.26	865625.00	511108000	954.964	992.118	1008.74	1019.861	1005.06	
2006/08/07	915.59	915.59	895.29	897.15	837603.00	451036992	939.598	979.98	1000.372	1015.622	1003.72	
2006/08/08	897.16	926.22	897.16	926.14	781270.00	419644000	931.686	968.804	993.147	1012.565	1002.57	
2006/08/09	928.90	931.64	919.45	925.83	735982.00	375784000	924.804	956.678	986.154	1009.53	1001.385	
2006/08/10	924.56	940.13	923.91	939.25	813579.00	406984000	921.926	947.73	983.986	1006.335	1000.133	
2006/08/11	940.70	946.77	934.00	944.80	879072.00	448680992	926.634	940.799	981.461	1003.353	998.87	
2006/08/14	945.28	948.08	913.86	917.11	1083286.00	513707008	930.626	935.112	976.579	998.829	996.854	
2006/08/15	916.57	932.81	911.99	932.64	636328.00	332728000	931.926	931.806	971.602	995.105	996.036	
2006/08/16	933.00	949.29	929.27	948.99	876293.00	483684992	936.558	930.681	968.987	991.692	995.933	
2006/08/17	948.06	948.06	929.35	938.40	1206669.00	485128000	936.388	929.157	965.498	986.997	995.508	
2006/08/18	936.38	946.85	933.98	938.05	923380.00	473537984	935.038	930.836	961.477	982.772	994.746	
2006/08/21	907.60	944.81	897.80	944.20	1079739.00	594583040	940.456	935.541	957.76	978.761	993.628	
2006/08/22	943.48	956.33	941.12	951.87	1128542.00	638665024	944.302	938.114	953.459	974.803	992.628	
2006/08/23	952.73	962.43	948.05	950.50	1239902.00	704622016	944.604	940.581	948.63	970.963	991.873	
2006/08/24	949.07	954.03	938.34	954.03	865916.00	471847008	947.73	942.059	944.895	970.01	990.446	
